employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id,,,,Name
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,8/1/1996,SA_REP,9000,0.35,146,80,,,,Allan McEwen
159,Lindsey,Smith,LSMITH,011.44.1345.729268,3/10/1997,SA_REP,8000,0.3,146,80,,,,Lindsey Smith
160,Louise,Doran,LDORAN,011.44.1345.629268,12/15/1997,SA_REP,7500,0.3,146,80,,,,Louise Doran
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,11/3/1998,SA_REP,7000,0.25,146,80,,,,Sarath Sewall
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11/11/1997,SA_REP,10500,0.25,147,80,,,,Clara Vishney
163,Danielle,Greene,DGREENE,011.44.1346.229268,3/19/1999,SA_REP,9500,0.15,147,80,,,,Danielle Greene
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,1/24/2000,SA_REP,7200,0.1,147,80,,,,Mattea Marvins
165,David,Lee,DLEE,011.44.1346.529268,2/23/2000,SA_REP,6800,0.1,147,80,,,,David Lee
166,Sundar,Ande,SANDE,011.44.1346.629268,3/24/2000,SA_REP,6400,0.1,147,80,,,,Sundar Ande
167,Amit,Banda,ABANDA,011.44.1346.729268,4/21/2000,SA_REP,6200,0.1,147,80,,,,Amit Banda
168,Lisa,Ozer,LOZER,011.44.1343.929268,3/11/1997,SA_REP,11500,0.25,148,80,,,,Lisa Ozer
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,3/23/1998,SA_REP,10000,0.2,148,80,,,,Harrison Bloom
170,Tayler,Fox,TFOX,011.44.1343.729268,1/24/1998,SA_REP,9600,0.2,148,80,,,,Tayler Fox
171,William,Smith,WSMITH,011.44.1343.629268,2/23/1999,SA_REP,7400,0.15,148,80,,,,William Smith
172,Elizabeth,Bates,EBATES,011.44.1343.529268,3/24/1999,SA_REP,7300,0.15,148,80,,,,Elizabeth Bates
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,4/21/2000,SA_REP,6100,0.1,148,80,,,,Sundita Kumar
174,Ellen,Abel,EABEL,011.44.1644.429267,5/11/1996,SA_REP,11000,0.3,149,80,,,,Ellen Abel
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,3/19/1997,SA_REP,8800,0.25,149,80,,,,Alyssa Hutton
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,3/24/1998,SA_REP,8600,0.2,149,80,,,,Jonathon Taylor
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,4/23/1998,SA_REP,8400,0.2,149,80,,,,Jack Livingston
178,Kimberely,Grant,KGRANT,011.44.1644.429263,5/24/1999,SA_REP,7000,0.15,149,NULL,,,,Kimberely Grant
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,1/4/2000,SA_REP,6200,0.1,149,80,,,,Charles Johnson
180,Winston,Taylor,WTAYLOR,650.507.9876,1/24/1998,SH_CLERK,3200,NULL,120,50,,,,Winston Taylor
181,Jean,Fleaur,JFLEAUR,650.507.9877,2/23/1998,SH_CLERK,3100,NULL,120,50,,,,Jean Fleaur
182,Martha,Sullivan,MSULLIVA,650.507.9878,6/21/1999,SH_CLERK,2500,NULL,120,50,,,,Martha Sullivan
183,Girard,Geoni,GGEONI,650.507.9879,2/3/2000,SH_CLERK,2800,NULL,120,50,,,,Girard Geoni
184,Nandita,Sarchand,NSARCHAN,650.509.1876,1/27/1996,SH_CLERK,4200,NULL,121,50,,,,Nandita Sarchand
185,Alexis,Bull,ABULL,650.509.2876,2/20/1997,SH_CLERK,4100,NULL,121,50,,,,Alexis Bull
186,Julia,Dellinger,JDELLING,650.509.3876,6/24/1998,SH_CLERK,3400,NULL,121,50,,,,Julia Dellinger
187,Anthony,Cabrio,ACABRIO,650.509.4876,2/7/1999,SH_CLERK,3000,NULL,121,50,,,,Anthony Cabrio
188,Kelly,Chung,KCHUNG,650.505.1876,6/14/1997,SH_CLERK,3800,NULL,122,50,,,,Kelly Chung
189,Jennifer,Dilly,JDILLY,650.505.2876,8/13/1997,SH_CLERK,3600,NULL,122,50,,,,Jennifer Dilly
190,Timothy,Gates,TGATES,650.505.3876,7/11/1998,SH_CLERK,2900,NULL,122,50,,,,Timothy Gates
191,Randall,Perkins,RPERKINS,650.505.4876,12/19/1999,SH_CLERK,2500,NULL,122,50,,,,Randall Perkins
192,Sarah,Bell,SBELL,650.501.1876,2/4/1996,SH_CLERK,4000,NULL,123,50,,,,Sarah Bell
193,Britney,Everett,BEVERETT,650.501.2876,3/3/1997,SH_CLERK,3900,NULL,123,50,,,,Britney Everett
194,Samuel,McCain,SMCCAIN,650.501.3876,7/1/1998,SH_CLERK,3200,NULL,123,50,,,,Samuel McCain
195,Vance,Jones,VJONES,650.501.4876,3/17/1999,SH_CLERK,2800,NULL,123,50,,,,Vance Jones
196,Alana,Walsh,AWALSH,650.507.9811,4/24/1998,SH_CLERK,3100,NULL,124,50,,,,Alana Walsh
197,Kevin,Feeney,KFEENEY,650.507.9822,5/23/1998,SH_CLERK,3000,NULL,124,50,,,,Kevin Feeney
198,Donald,OConnell,DOCONNEL,650.507.9833,6/21/1999,SH_CLERK,2600,NULL,124,50,,,,Donald OConnell
199,Douglas,Grant,DGRANT,650.507.9844,1/13/2000,SH_CLERK,2600,NULL,124,50,,,,Douglas Grant
200,Jennifer,Whalen,JWHALEN,515.123.4444,9/17/1987,AD_ASST,4400,NULL,101,10,,,,Jennifer Whalen
201,Michael,Hartstein,MHARTSTE,515.123.5555,2/17/1996,MK_MAN,13000,NULL,100,20,,,,Michael Hartstein
202,Pat,Fay,PFAY,603.123.6666,8/17/1997,MK_REP,6000,NULL,201,20,,,,Pat Fay
203,Susan,Mavris,SMAVRIS,515.123.7777,6/7/1994,HR_REP,6500,NULL,101,40,,,,Susan Mavris
204,Hermann,Baer,HBAER,515.123.8888,6/7/1994,PR_REP,10000,NULL,101,70,,,,Hermann Baer
205,Shelley,Higgins,SHIGGINS,515.123.8080,6/7/1994,AC_MGR,12000,NULL,101,110,,,,Shelley Higgins
206,William,Gietz,WGIETZ,51hr5.123.8181,6/7/1994,AC_ACCOUNT,8300,NULL,205,110,,,,William Gietz
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,, 
